Close time,Open,High,Low,Close,Volume
2023-02-28 00:29:59.999,23484.62,23549.99,23472.0,23484.13,2118.41198
2023-02-28 00:44:59.999,23484.14,23525.84,23439.45,23473.58,2226.03085
2023-02-28 00:59:59.999,23473.07,23484.04,23409.79,23420.55,2055.68133
2023-02-28 01:14:59.999,23420.55,23457.85,23394.06,23456.99,1758.51147
2023-02-28 01:29:59.999,23455.69,23460.01,23409.67,23422.06,1252.99448
2023-02-28 01:44:59.999,23421.79,23442.86,23349.57,23366.41,1992.12215
2023-02-28 01:59:59.999,23366.41,23453.86,23359.06,23433.16,1760.84177
2023-02-28 02:14:59.999,23433.16,23440.89,23386.79,23438.86,1557.83239
2023-02-28 02:29:59.999,23439.6,23475.73,23424.77,23470.37,1383.13451
2023-02-28 02:44:59.999,23470.37,23471.06,23423.0,23426.22,1095.09996
2023-02-28 02:59:59.999,23426.22,23457.6,23410.4,23441.76,1339.58393
2023-02-28 03:14:59.999,23441.76,23526.0,23436.12,23496.67,1677.40081
2023-02-28 03:29:59.999,23497.38,23509.7,23466.65,23476.65,1425.94251
2023-02-28 03:44:59.999,23476.65,23490.73,23456.88,23487.81,1298.36021
2023-02-28 03:59:59.999,23487.42,23490.83,23450.35,23467.52,1141.78094
2023-02-28 04:14:59.999,23467.01,23470.44,23421.04,23426.1,1581.93883
2023-02-28 04:29:59.999,23426.13,23441.6,23394.68,23426.07,2111.11023
2023-02-28 04:44:59.999,23426.67,23430.61,23387.0,23413.19,1069.51603
2023-02-28 04:59:59.999,23413.55,23442.78,23386.31,23415.0,1731.67925
2023-02-28 05:14:59.999,23414.64,23436.15,23405.89,23432.31,1175.28107
2023-02-28 05:29:59.999,23432.31,23447.76,23407.0,23428.49,1203.89003
2023-02-28 05:44:59.999,23428.49,23430.19,23364.01,23397.38,2061.57669
2023-02-28 05:59:59.999,23397.38,23409.67,23372.62,23378.45,1368.39683
2023-02-28 06:14:59.999,23377.69,23404.03,23366.11,23401.21,1442.46716
2023-02-28 06:29:59.999,23400.98,23409.65,23370.0,23373.11,1216.73729
2023-02-28 06:44:59.999,23373.11,23407.4,23362.25,23401.83,1246.34244
2023-02-28 06:59:59.999,23402.46,23414.34,23386.0,23392.3,1293.90015
2023-02-28 07:14:59.999,23391.69,23394.12,23366.48,23389.58,1552.79158
2023-02-28 07:29:59.999,23389.58,23397.58,23351.76,23355.35,1556.2547
2023-02-28 07:44:59.999,23354.44,23378.59,23279.42,23309.51,3780.20484
2023-02-28 07:59:59.999,23309.43,23312.4,23212.8,23236.68,4741.21498
2023-02-28 08:14:59.999,23235.63,23281.7,23200.0,23268.12,3701.85296
2023-02-28 08:29:59.999,23268.12,23297.47,23235.29,23291.24,2182.4762
2023-02-28 08:44:59.999,23291.24,23302.94,23262.61,23280.47,1735.55943
2023-02-28 08:59:59.999,23280.81,23301.34,23242.0,23264.21,2012.88034
2023-02-28 09:14:59.999,23263.3,23321.76,23258.0,23303.47,2112.27667
2023-02-28 09:29:59.999,23303.47,23311.47,23276.0,23288.21,1435.86716
2023-02-28 09:44:59.999,23288.21,23290.64,23244.21,23276.51,1823.82629
2023-02-28 09:59:59.999,23275.99,23298.64,23255.0,23267.79,1476.90313
2023-02-28 10:14:59.999,23268.43,23298.63,23253.5,23287.52,1628.24988
2023-02-28 10:29:59.999,23287.52,23313.72,23270.0,23294.57,1725.01613
2023-02-28 10:44:59.999,23294.99,23356.8,23286.56,23353.06,2291.945
2023-02-28 10:59:59.999,23352.51,23391.03,23344.22,23363.9,2680.44329
2023-02-28 11:14:59.999,23363.9,23376.96,23335.47,23341.5,1849.00501
2023-02-28 11:29:59.999,23340.84,23368.51,23337.09,23347.48,1633.85026
2023-02-28 11:44:59.999,23347.48,23421.98,23345.33,23405.18,2775.79086
2023-02-28 11:59:59.999,23405.18,23419.75,23380.87,23392.69,2012.55861
2023-02-28 12:14:59.999,23391.96,23453.19,23385.29,23432.38,2871.12891
2023-02-28 12:29:59.999,23432.38,23504.83,23425.74,23493.77,4127.4827
2023-02-28 12:44:59.999,23494.84,23506.11,23450.0,23455.53,2706.50361
2023-02-28 12:59:59.999,23455.5,23471.44,23436.42,23454.54,2267.80476
2023-02-28 13:14:59.999,23454.01,23487.78,23393.41,23426.86,3398.40782
2023-02-28 13:29:59.999,23426.87,23440.0,23368.79,23408.89,2626.17337
2023-02-28 13:44:59.999,23408.89,23419.4,23374.13,23391.08,3030.69224
2023-02-28 13:59:59.999,23391.08,23447.2,23391.07,23403.17,2404.04559
