Close time,Open,High,Low,Close,Volume
2022-02-01 00:29:59.999,38497.69,38516.72,38300.69,38439.57,261.31544
2022-02-01 00:44:59.999,38437.5,38469.99,38291.71,38306.87,186.60986
2022-02-01 00:59:59.999,38306.86,38370.58,38276.43,38342.36,202.5967
2022-02-01 01:14:59.999,38342.37,38407.0,38304.01,38373.96,188.72317
2022-02-01 01:29:59.999,38369.02,38385.68,38277.14,38305.21,150.99445
2022-02-01 01:44:59.999,38305.21,38330.47,38275.67,38283.37,155.61359
2022-02-01 01:59:59.999,38283.36,38300.0,38175.86,38238.19,282.53189
2022-02-01 02:14:59.999,38238.18,38310.99,38196.61,38294.99,264.90034
2022-02-01 02:29:59.999,38294.99,38426.92,38294.99,38365.57,196.87443
2022-02-01 02:44:59.999,38367.74,38506.18,38353.96,38452.0,198.53417
2022-02-01 02:59:59.999,38449.09,38500.0,38413.02,38480.9,106.52953
2022-02-01 03:14:59.999,38480.9,38552.1,38384.99,38543.86,204.03503
2022-02-01 03:29:59.999,38543.85,38592.43,38476.45,38510.58,188.37092
2022-02-01 03:44:59.999,38508.13,38521.89,38455.55,38510.13,210.18006
2022-02-01 03:59:59.999,38510.13,38649.9,38486.2,38596.82,343.87048
2022-02-01 04:14:59.999,38596.82,38644.57,38565.0,38600.0,243.71252
2022-02-01 04:29:59.999,38600.01,38600.01,38499.99,38540.71,221.02476
2022-02-01 04:44:59.999,38540.72,38548.53,38470.37,38548.5,191.25906
2022-02-01 04:59:59.999,38548.51,38570.64,38490.0,38556.82,102.93148
2022-02-01 05:14:59.999,38556.83,38580.99,38475.39,38545.99,178.94121
2022-02-01 05:29:59.999,38546.0,38566.85,38488.49,38496.37,89.87336
2022-02-01 05:44:59.999,38496.37,38609.88,38491.17,38592.24,140.67378
2022-02-01 05:59:59.999,38592.25,38618.67,38444.26,38452.9,293.52621
2022-02-01 06:14:59.999,38452.89,38482.91,38277.0,38287.57,385.31208
2022-02-01 06:29:59.999,38287.57,38340.0,38240.02,38280.01,362.07706
2022-02-01 06:44:59.999,38280.0,38341.46,38240.0,38276.6,372.69164
2022-02-01 06:59:59.999,38276.6,38337.0,38261.23,38285.02,126.81459
2022-02-01 07:14:59.999,38285.01,38383.7,38281.16,38376.97,221.54942
2022-02-01 07:29:59.999,38376.98,38459.12,38352.05,38413.18,218.92622
2022-02-01 07:44:59.999,38413.18,38462.69,38378.82,38385.63,130.47911
2022-02-01 07:59:59.999,38385.63,38449.12,38361.24,38440.77,137.11555
2022-02-01 08:14:59.999,38440.76,38549.55,38398.54,38544.01,196.74909
2022-02-01 08:29:59.999,38544.0,38570.0,38500.28,38569.99,191.99695
2022-02-01 08:44:59.999,38569.99,38582.6,38470.0,38505.0,164.17581
2022-02-01 08:59:59.999,38505.0,38624.24,38489.52,38597.53,240.10359
